"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2014,1995,-19,71442.3252362258
"2",2014,1996,-18,72214.7311794891
"3",2014,1997,-17,73070.4614489009
"4",2014,1998,-16,73790.8818313076
"5",2014,1999,-15,74571.1392747973
"6",2014,2000,-14,75263.8120555454
"7",2014,2001,-13,75943.2238249979
"8",2014,2002,-12,76697.8676601532
"9",2014,2003,-11,77357.2963128268
"10",2014,2004,-10,78221.3843655122
"11",2014,2005,-9,79079.7133255948
"12",2014,2006,-8,78135.450558901
"13",2014,2007,-7,79220.738310613
"14",2014,2008,-6,80151.7265649984
"15",2014,2009,-5,80957.9424805727
"16",2014,2010,-4,81752.5761808632
"17",2014,2011,-3,82314.5675985635
"18",2014,2012,-2,82784.4538366717
"19",2014,2013,-1,83206.0754149555
"20",2014,2014,0,83743.2682067879
"21",2014,2015,1,84318.916932416
"22",2014,2016,2,84822.9296850657
"23",2014,2017,3,85191.205538837
"24",2014,2018,4,85518.9040204882
