"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2013,1995,-18,82681.1692023624
"2",2013,1996,-17,83786.7997398303
"3",2013,1997,-16,84950.0562722702
"4",2013,1998,-15,86065.5753135914
"5",2013,1999,-14,87023.75475967
"6",2013,2000,-13,88039.1605247115
"7",2013,2001,-12,88906.9724973352
"8",2013,2002,-11,89839.8117069214
"9",2013,2003,-10,90778.2210142455
"10",2013,2004,-9,91827.6909497495
"11",2013,2005,-8,92896.3382454184
"12",2013,2006,-7,94143.7440755998
"13",2013,2007,-6,95066.7880263529
"14",2013,2008,-5,95928.9497029113
"15",2013,2009,-4,96694.9972627296
"16",2013,2010,-3,97490.8955878823
"17",2013,2011,-2,97908.3494621518
"18",2013,2012,-1,98240.5778845794
"19",2013,2013,0,98388.3027945214
"20",2013,2014,1,98642.0331649102
"21",2013,2015,2,98793.0925126483
"22",2013,2016,3,99131.152232148
"23",2013,2017,4,99598.4421300523
"24",2013,2018,5,100031.739259759
