"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2009,1995,-14,49977.2021090161
"2",2009,1996,-13,50833.5282125363
"3",2009,1997,-12,51701.7232520711
"4",2009,1998,-11,52388.0157759993
"5",2009,1999,-10,53113.5604941604
"6",2009,2000,-9,53660.7512942247
"7",2009,2001,-8,54409.9298821211
"8",2009,2002,-7,55535.4242987578
"9",2009,2003,-6,56515.2396098221
"10",2009,2004,-5,57892.4918840392
"11",2009,2005,-4,58794.7350600696
"12",2009,2006,-3,59518.5296523814
"13",2009,2007,-2,60278.476110307
"14",2009,2008,-1,60760.0957791461
"15",2009,2009,0,60967.0964485412
"16",2009,2010,1,61407.657792568
"17",2009,2011,2,61709.6350314248
"18",2009,2012,3,62164.608251192
"19",2009,2013,4,62557.1832700374
"20",2009,2014,5,63162.0493994205
"21",2009,2015,6,64081.662494135
"22",2009,2016,7,65074.4905808898
"23",2009,2017,8,66000.919513768
"24",2009,2018,9,66898.3262929987
