"","covariates","treated","untreated","post_bal"
"1","exposure_","0.503349282296651","0.0431108960845976","0.281002605132259"
"2","svi_","0.698055454545454","0.49584858338805","0.676744388286202"
"3","tmean_","25.6315103366533","23.2669432341457","25.6720398357533"
"4","ppt_mean_","4.51355650397091","3.0596035724849","4.35543956748321"
"5","pct_hsg_","77.2795215311005","79.4663518448123","75.3074180988169"
"6","pct_black_","0.340039065100955","0.0885232239945722","0.318744731532043"
"7","pct_hispanic_","0.0381405544208798","0.0707052335252369","0.0396542708534853"
"8","pci_","24687.3483253589","25178.2014013201","24162.9471181961"
"9","pct_pov_","17.4526315789474","15.127067076753","17.9883134325634"
"10","mf_ratio_","0.958243562102076","0.992367291316355","0.968930858406118"
"11","pct_youth_","0.196966663294232","0.200812842481478","0.200524613254841"
"12","pct_elderly_","0.144326235705798","0.154077040127156","0.144764457927504"
"13","pop_density_","406.853811260997","248.64085568025","289.935249387569"
"14","pop_size_","77278.166507177","93965.3653972423","77693.4930242892"
