"","covariates","treated","untreated","post_bal"
"1","exposure_","0.271052631578947","0.0482316677482154","0.258039766269996"
"2","svi_","0.788771929824561","0.497918104044993","0.747408227490415"
"3","tmean_","28.1093591463065","23.2494101771943","27.8957067886852"
"4","ppt_mean_","3.40220312512185","3.09913349113963","3.37508257609653"
"5","pct_hsg_","74.6231578947368","79.7337069543586","74.4682830868718"
"6","pct_black_","0.139422239781162","0.0929598948416657","0.140189714353942"
"7","pct_hispanic_","0.297286367220418","0.06971858617217","0.289722479503111"
"8","pci_","24451.25","25370.3271155094","24410.2471054996"
"9","pct_pov_","18.9925","15.2309365671642","18.7094651764327"
"10","mf_ratio_","1.01751539481282","0.992339573357706","1.01619628880488"
"11","pct_youth_","0.203905300525521","0.200011388549817","0.203528613248231"
"12","pct_elderly_","0.155050203768658","0.155012340943574","0.154127166499444"
"13","pop_density_","114.057770022132","253.191003247954","112.653983438249"
"14","pop_size_","59702.3315789474","94294.8195165477","67721.230392573"
