"","covariates","treated","untreated","post_bal"
"1","exposure_","0.18655303030303","0.047737581590884","0.185216193009217"
"2","svi_","0.676522727272727","0.493630368403585","0.668518392897409"
"3","tmean_","27.0121544839773","23.0748659845526","26.9952673467038"
"4","ppt_mean_","3.89647642309737","3.02591469099705","3.90332569089078"
"5","pct_hsg_","75.8778409090909","77.394009938415","75.858111216318"
"6","pct_black_","0.168945243540238","0.0890257228558033","0.17005300731607"
"7","pct_hispanic_","0.0671151434769966","0.0622964337126817","0.0676060217553883"
"8","pci_","23014.7888257576","23870.8051692665","23004.8686873613"
"9","pct_pov_","16.8060132575758","14.3341854740569","16.7907579016608"
"10","mf_ratio_","0.997295568595278","0.985299297542773","0.997364151836558"
"11","pct_youth_","0.212777914567401","0.205974801061308","0.212739481502222"
"12","pct_elderly_","0.139605859933879","0.149885851756129","0.139673942337331"
"13","pop_density_","132.999188632109","248.915317359158","133.65187833054"
"14","pop_size_","111303.770833333","89993.0800973559","110995.255080305"
