"","covariates","treated","untreated","post_bal"
"1","exposure_","0.269960732984293","0.0371348797250859","0.258562988335737"
"2","svi_","0.529043193717278","0.497491609965636","0.522977615581418"
"3","tmean_","23.6624806226464","23.1944670767645","23.731809318372"
"4","ppt_mean_","4.04410251305055","3.0332529631216","4.03964191957915"
"5","pct_hsg_","79.7211060209424","78.4840147479954","79.6378972925506"
"6","pct_black_","0.205401963037865","0.0848063829423989","0.205106421076202"
"7","pct_hispanic_","0.0510566708269186","0.0680599413135476","0.0506650323376034"
"8","pci_","29064.9034685864","24247.1267719072","29084.2479026973"
"9","pct_pov_","13.469682591623","14.8613427835052","13.5083867418917"
"10","mf_ratio_","0.967901823559434","0.990807184855225","0.967416265944484"
"11","pct_youth_","0.1987624085835","0.203207340567809","0.198352491997133"
"12","pct_elderly_","0.13757701238391","0.152323790460105","0.137414861060312"
"13","pop_density_","1528.27827934557","164.776880763375","1507.82796719847"
"14","pop_size_","231037.691099476","83291.9738402062","231010.040885332"
