"","covariates","treated","untreated","post_bal"
"1","exposure_","0.175757575757576","0.0535671754898777","0.137215219251597"
"2","svi_","0.838559090909091","0.496392984735304","0.825745622400782"
"3","tmean_","29.0894876660802","23.1148013973679","28.9504414309009"
"4","ppt_mean_","2.443668649506","3.07828330773373","2.53848125391889"
"5","pct_hsg_","68.0239393939394","78.3342912200931","66.9610002856992"
"6","pct_black_","0.031986670284988","0.092425989181907","0.0424751915772332"
"7","pct_hispanic_","0.5700144679229","0.062321801145748","0.567468915586934"
"8","pci_","21709.1454545455","24389.324717982","21913.9013610723"
"9","pct_pov_","22.0569696969697","14.5877304319584","21.7682336587509"
"10","mf_ratio_","1.03736053768648","0.988206342616187","1.03475013848413"
"11","pct_youth_","0.225209942168863","0.203518875783842","0.225097338970792"
"12","pct_elderly_","0.134156598473797","0.150959596089123","0.133211973499843"
"13","pop_density_","141.72463817479","248.670888050812","116.161655348052"
"14","pop_size_","149400.242424242","91538.2808487604","148119.54483796"
